Restaurant,url,
Chambers Grill,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d6556473-Reviews-Chambers_Grill-Kuala_Lumpur_Wilayah_Persekutuan.html,
Positano Risto,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d15297795-Reviews-Positano_Risto-Kuala_Lumpur_Wilayah_Persekutuan.html,
Sausage KL Cafe & Deli,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d15042368-Reviews-Sausage_KL_Cafe_Deli-Kuala_Lumpur_Wilayah_Persekutuan.html,
Canopy Rooftop Bar and Lounge,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d11947368-Reviews-Canopy_Rooftop_Bar_and_Lounge-Kuala_Lumpur_Wilayah_Persekutuan.html,
Iketeru Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d796300-Reviews-Iketeru_Restaurant-Kuala_Lumpur_Wilayah_Persekutuan.html,
Knowhere Bangsar,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d15223699-Reviews-Knowhere_Bangsar-Kuala_Lumpur_Wilayah_Persekutuan.html,
Ishin Japanese Dining,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d4355273-Reviews-Ishin_Japanese_Dining-Kuala_Lumpur_Wilayah_Persekutuan.html,
Latest Recipe,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d819678-Reviews-Latest_Recipe-Kuala_Lumpur_Wilayah_Persekutuan.html,
Chynna,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d1060218-Reviews-Chynna-Kuala_Lumpur_Wilayah_Persekutuan.html,
Gastro Sentral,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d4084803-Reviews-Gastro_Sentral-Kuala_Lumpur_Wilayah_Persekutuan.html,
The Whisky Bar,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d3834170-Reviews-The_Whisky_Bar-Kuala_Lumpur_Wilayah_Persekutuan.html,
Vasco's,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d4831795-Reviews-Vasco_s-Kuala_Lumpur_Wilayah_Persekutuan.html,
el iberico,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d13076821-Reviews-El_iberico-Kuala_Lumpur_Wilayah_Persekutuan.html,
Nizza,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d13526208-Reviews-Nizza-Kuala_Lumpur_Wilayah_Persekutuan.html,
Cielo Sky Dining & Lounge,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d13550462-Reviews-Cielo_Sky_Dining_Lounge-Kuala_Lumpur_Wilayah_Persekutuan.html,
Favola Italian Restaurant,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d1637422-Reviews-Favola_Italian_Restaurant-Kuala_Lumpur_Wilayah_Persekutuan.html,
Rooftop 25 Bar and Lounge KL,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d17329080-Reviews-Rooftop_25_Bar_and_Lounge_KL-Kuala_Lumpur_Wilayah_Persekutuan.html,
"Flock, W Kuala Lumpur",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d15125499-Reviews-Flock_W_Kuala_Lumpur-Kuala_Lumpur_Wilayah_Persekutuan.html,
Beta KL,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d13418516-Reviews-Beta_KL-Kuala_Lumpur_Wilayah_Persekutuan.html,
The Grand Getaway by Grand Hyatt Kuala Lumpur,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d22983303-Reviews-The_Grand_Getaway_by_Grand_Hyatt_Kuala_Lumpur-Kuala_Lumpur_Wilayah_Persekutuan.html,
Nadodi KL,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d12247992-Reviews-Nadodi_KL-Kuala_Lumpur_Wilayah_Persekutuan.html,
Dining In The Dark KL,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d3677326-Reviews-Dining_In_The_Dark_KL-Kuala_Lumpur_Wilayah_Persekutuan.html,
"YEN, W Kuala Lumpur",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d15360655-Reviews-YEN_W_Kuala_Lumpur-Kuala_Lumpur_Wilayah_Persekutuan.html,
Khan's Indian Cuisine,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d15119941-Reviews-Khan_s_Indian_Cuisine-Kuala_Lumpur_Wilayah_Persekutuan.html,
Nero Nero,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d12513281-Reviews-Nero_Nero-Kuala_Lumpur_Wilayah_Persekutuan.html,
Healy Mac's,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d1636112-Reviews-Healy_Mac_s-Kuala_Lumpur_Wilayah_Persekutuan.html,
Eat X Dignity Cafe,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d8477721-Reviews-Eat_X_Dignity_Cafe-Kuala_Lumpur_Wilayah_Persekutuan.html,
Opium KL,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d6863950-Reviews-Opium_KL-Kuala_Lumpur_Wilayah_Persekutuan.html,
Le Petit Chef - Kuala Lumpur,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d21184087-Reviews-Le_Petit_Chef_Kuala_Lumpur-Kuala_Lumpur_Wilayah_Persekutuan.html,
Malai Thai Cuisine,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d14197079-Reviews-Malai_Thai_Cuisine-Kuala_Lumpur_Wilayah_Persekutuan.html,
Horizon Grill,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d14791132-Reviews-Horizon_Grill-Kuala_Lumpur_Wilayah_Persekutuan.html,
Prime,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d1637408-Reviews-Prime-Kuala_Lumpur_Wilayah_Persekutuan.html,
Yun House,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d14827076-Reviews-Yun_House-Kuala_Lumpur_Wilayah_Persekutuan.html,
Quivo Pavilion,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d7085237-Reviews-Quivo_Pavilion-Kuala_Lumpur_Wilayah_Persekutuan.html,
El Cerdo,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d877517-Reviews-El_Cerdo-Kuala_Lumpur_Wilayah_Persekutuan.html,
